"RouterFile","RouterPrefix","RouterTags","RouterDependencies","Method","CanonicalPath","LegacyPath","Handler","HandlerFile","EndpointDependencies","AllDependencies","AuthType","Roles","MiddlewareRelevant","RequestModels","ResponseModel","DbTablesTouched"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/telemetry/chart","/console/ui/telemetry/chart","console.ui_telemetry_chart","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1386","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, telemetry_snapshots"
"server/api/app/main.py","","health","","GET","/api/v1/health","/health","main.health","server/api/app/main.py:191","","","None","","CORS","","dict",""
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\license.py","/license","license","","POST","/api/v1/license/activate","/license/activate","license.activate_license","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\license.py:71","get_db, require_api_key","get_db, require_api_key","API-Key","","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","raise","LicenseActivateResponse","devices, licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\license.py","/license","license","","GET","/api/v1/license/me","/license/me","license.license_me","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\license.py:127","get_db, require_verified_token","get_db, require_verified_token","Bearer JWT (verified JWKS/aud/iss)","","legacy_deprecation_headers(on legacy path), CORS","","LicenseMeResponse","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\license.py","/license","license","","GET","/api/v1/license/status","/license/status","license.license_status","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\license.py:164","get_db","get_db","None/Unknown","","pre_auth_rate_limit, legacy_deprecation_headers(on legacy path), CORS","","LicenseStatusResponse","licenses, plans"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\payments.py","/payments","payments","","POST","/api/v1/payments/create-checkout","/payments/create-checkout","payments.create_checkout","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\payments.py:62","get_db, require_home_user","get_db, require_home_user","Bearer JWT (home user)","pcw_user|pcw_admin|pcw_console|pcw_support","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","StripeCheckoutResponse","plans, subscriptions"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\payments.py","/payments","payments","","POST","/api/v1/payments/portal","/payments/portal","payments.customer_portal","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\payments.py:102","get_db, require_home_user","get_db, require_home_user","Bearer JWT (home user)","pcw_user|pcw_admin|pcw_console|pcw_support","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","StripePortalResponse","subscriptions"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\payments.py","/payments","payments","","POST","/api/v1/payments/webhook","/payments/webhook","payments.stripe_webhook","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\payments.py:130","get_db","get_db","None/Unknown","","pre_auth_rate_limit, body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","event, raise, return, skip","OkResponse","subscriptions, webhook_events"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\telemetry.py","/telemetry","telemetry","require_api_key","POST","/api/v1/telemetry/snapshot","/telemetry/snapshot","telemetry.ingest_snapshot","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\telemetry.py:62","get_db","require_api_keyget_db","None/Unknown","","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","OkResponse","devices, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\telemetry.py","/telemetry","telemetry","require_api_key","POST","/api/v1/telemetry/update","/telemetry/update","telemetry.ingest_update","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\telemetry.py:33","get_db","require_api_keyget_db","None/Unknown","","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","summary","OkResponse","devices, telemetry_snapshots"
"server/api/app/main.py","","health","","GET","/health","/health","main.health","server/api/app/main.py:190","","","None","","CORS","","dict",""
